Feature1,Feature2,Feature3,Feature4,Feature5
120.59552,38.7999868,1257.31529,430.673,51.109
118.2171566,37.5108948,8869.78786,837.997,203.165
115.1057129,39.5110722,10470.00732,803.326,132.851
117.1066151,37.9294134,9479.39527,752.398,184.518
116.649231,39.5991956,2834.67447,414.174,6.934
118.6898406,38.4586945,6858.08339,685.015,64.197
115.1248779,38.9324279,6012.25311,696.633,115.679
116.5319214,39.2431175,5090.2219,702.26,31.301
116.8081665,39.1960066,4206.29115,511.635,357.51
118.2171566,37.5108948,8869.78786,836.108,202.532
117.1315554,38.0080719,11331.07779,821.639,183.101
121.2445328,38.0631409,10698.6101,897.121,334.44
117.3149336,37.3618011,6888.56376,730.778,171.254
116.6111339,40.646202,4335.83272,705.719,348.955
114.6915971,38.3420105,9799.43916,836.366,184.827
118.1581421,38.6980839,9174.59156,863.127,64.315
116.8083125,39.1973877,4206.29115,511.635,357.51
116.8083125,39.1973877,4206.29115,510.39,356.255
116.8221051,38.3258988,9479.39527,740.267,191.985
116.7783633,40.7772465,6233.2358,784.262,13.938
115.4343262,39.7459748,9784.19898,770.383,133.247
116.9418202,39.6170197,3223.2992,587.084,0
116.7702026,38.8619012,2491.7703,415.088,295.079
115.8947754,40.1754192,7345.76932,761.181,90.279
116.3391246,38.7763367,4206.29115,639.144,287.017
116.9334984,36.4224701,6438.9783,758.262,345.285
118.6890046,38.4590607,6850.4633,685.015,64.197
117.0019601,40.1155064,10706.23019,902.211,340.077
116.9920654,39.81031,5890.33163,707.464,180
117.3454782,39.1337929,0,0,205.313
119.5919136,38.7499237,8869.78786,977.549,252.355
118.8981628,38.9044189,8107.77859,798.287,253.836
116.0580776,38.3589509,6438.9783,747.19,334.451
116.2794163,38.7639313,4785.41819,615.525,332.201
116.9182354,39.4985046,10081.38259,871.728,188.922
116.9187131,39.4963531,10081.38259,871.728,188.922
116.9093628,40.2727661,3017.55669,562.584,325.054
118.0483345,38.5171509,5052.12143,694.105,334.05
114.6759033,39.1995912,8412.5823,784.822,133.183
115.4343262,39.7459748,9784.19898,770.468,133.052
114.6296161,38.9314728,11605.40112,853.79,179.627
116.9918558,38.9765625,1623.07974,388.92,0
117.9715576,38.7729865,8412.5823,725.691,64.612
117.3475342,39.166027,228.60278,242.697,205.783
117.7425683,38.9189301,1562.119,364.802,60.832
118.4987183,38.841651,2987.07632,546.679,20.215
118.5539139,41.4808836,9784.19898,737.022,160.017
118.1713257,39.0342376,6560.89978,751.1,255.141
117.4608645,38.161197,6865.70349,713.119,206.365
116.7708754,38.8621674,2491.7703,415.088,295.079
117.1061972,38.2879121,8862.16776,792.269,183.484
116.0417175,40.1627104,5783.65033,667.802,131.515
117.016575,39.3007507,7353.38942,764.661,183.749
117.655276,37.1387787,7802.97488,774.395,330.799
117.106854,37.9267133,9479.39527,752.398,184.518
118.0195063,40.7372116,9738.47842,878.418,302.953
117.360611,39.1243395,0,0,295.313
116.5307883,39.2445374,5090.2219,702.26,31.301
